"date","IPI"
"2005-08",100.4174
"2005-09",100.5942
"2005-10",100.6774
"2005-11",101.4479
"2005-12",102.1277
"2006-01",101.6975
"2006-02",101.4588
"2006-03",101.6113
"2006-04",100.9594
"2006-05",100.6126
"2006-06",100.0768
"2006-07",100.1166
"2006-08",99.40501
"2006-09",97.77441
"2006-10",97.58125
"2006-11",97.50367
"2006-12",98.50477
"2007-01",98.07752
"2007-02",99.13132
"2007-03",99.31486
"2007-04",98.87476
"2007-05",99.09521
"2007-06",99.3689
"2007-07",98.32365
"2007-08",98.93817
"2007-09",98.4082
"2007-10",97.71609
"2007-11",97.38141
"2007-12",95.61785
"2008-01",95.38001
"2008-02",95.53224
"2008-03",94.66758
"2008-04",95.67216
"2008-05",95.3958
"2008-06",96.07987
"2008-07",97.60185
"2008-08",96.46137
"2008-09",95.50575
"2008-10",95.12773
"2008-11",93.35267
"2008-12",90.39084
"2009-01",88.64574
"2009-02",87.56705
"2009-03",85.79172
"2009-04",84.17717
"2009-05",83.43076
"2009-06",83.06879
"2009-07",83.16055
"2009-08",82.91202
"2009-09",84.33475
"2009-10",84.33849
"2009-11",85.64645
"2009-12",85.14616
"2010-01",86.08466
"2010-02",87.21765
"2010-03",88.3354
"2010-04",88.16204
"2010-05",90.34723
"2010-06",90.92831
"2010-07",90.95827
"2010-08",90.98235
"2010-09",90.54654
"2010-10",91.31007
"2010-11",91.33816
"2010-12",93.06641
"2011-01",92.85159
"2011-02",92.4757
"2011-03",93.52817
"2011-04",93.89147
"2011-05",92.24723
"2011-06",92.82108
"2011-07",94.4664
"2011-08",95.46535
"2011-09",96.1077
"2011-10",95.47098
"2011-11",95.22565
"2011-12",96.13873
"2012-01",96.1497
"2012-02",94.06109
"2012-03",94.22588
"2012-04",95.07208
"2012-05",95.01804
"2012-06",94.47175
"2012-07",94.11486
"2012-08",93.16833
"2012-09",92.85506
"2012-10",92.83179
"2012-11",93.78018
"2012-12",93.37273
"2013-01",94.0956
"2013-02",95.0975
"2013-03",95.68821
"2013-04",95.02447
"2013-05",94.82462
"2013-06",94.53408
"2013-07",94.91772
"2013-08",95.74466
"2013-09",96.53334
"2013-10",97.87714
"2013-11",97.54112
"2013-12",96.69787
"2014-01",97.05235
"2014-02",98.85577
"2014-03",99.16959
"2014-04",100.4639
"2014-05",100.7293
"2014-06",101.5771
"2014-07",100.9872
"2014-08",99.3079
"2014-09",101.213
"2014-10",102.0271
"2014-11",101.6582
"2014-12",102.0696
"2015-01",101.3863
"2015-02",100.7461
"2015-03",100.1431
"2015-04",99.27606
"2015-05",98.35496
"2015-06",99.15648
"2015-07",100.6175
"2015-08",101.7066
"2015-09",99.55001
"2015-10",99.32662
"2015-11",99.64552
"2015-12",100.0907
"2016-01",100.698
"2016-02",99.7734
"2016-03",98.75678
"2016-04",99.01201
"2016-05",95.21923
"2016-06",97.6963
"2016-07",100.2574
"2016-08",100.6643
"2016-09",101.8497
"2016-10",101.3074
"2016-11",102.5795
"2016-12",102.8088
"2017-01",103.5341
"2017-02",103.1293
"2017-03",103.3631
"2017-04",104.323
"2017-05",105.4737
"2017-06",105.5662
"2017-07",106.1069
"2017-08",104.887
"2017-09",105.3327
"2017-10",104.6467
"2017-11",105.7944
"2017-12",106.2233
"2018-01",105.8536
"2018-02",107.3218
"2018-03",108.5265
"2018-04",108.6795
"2018-05",108.3494
"2018-06",109.0942
"2018-07",110.2665
"2018-08",110.5471
"2018-09",110.1761
"2018-10",110.3591
"2018-11",109.393
"2018-12",108.6533
"2019-01",107.5058
"2019-02",107.1511
"2019-03",108.8266
"2019-04",111.056
"2019-05",111.1603
"2019-06",110.27
"2019-07",108.4039
"2019-08",108.6568
"2019-09",108.2795
"2019-10",108.6723
"2019-11",107.7094
"2019-12",107.1749
"2020-01",107.8975
"2020-02",108.7691
"2020-03",102.0758
"2020-04",88.64493
"2020-05",92.63167
"2020-06",96.57213
"2020-07",99.23834
"2020-08",98.89617
"2020-09",100.2884
"2020-10",100.5375
"2020-11",102.6889
"2020-12",104.1449
"2021-01",104.666
"2021-02",103.5333
"2021-03",104.1299
"2021-04",102.6847
"2021-05",102.7136
"2021-06",104.7345
"2021-07",104.9646
"2021-08",105.2808
"2021-09",105.5106
"2021-10",106.6126
"2021-11",105.952
"2021-12",106.2016
"2022-01",106.4357
"2022-02",106.9272
"2022-03",107.9178
"2022-04",109.1635
"2022-05",108.764
"2022-06",109.3561
"2022-07",109.8735
"2022-08",109.6605
"2022-09",109.8804
"2022-10",108.6969
"2022-11",108.9952
"2022-12",107.9759
"2023-01",108.4869
"2023-02",109.1292
"2023-03",109.7124
"2023-04",109.8449
"2023-05",109.4224
"2023-06",109.2389
"2023-07",109.7071
"2023-08",109.7333
